frame,root x,root y,root z
444,-0.33776,0.900465,2.748609
445,-0.33734,0.900193,2.752825
446,-0.336899,0.899899,2.757176
447,-0.336435,0.899597,2.761664
448,-0.335942,0.899303,2.766293
449,-0.335416,0.89903,2.771063
450,-0.334854,0.898792,2.775979
451,-0.33427,0.89858,2.781022
452,-0.333672,0.89838,2.786187
453,-0.333041,0.898202,2.791495
454,-0.33236,0.898054,2.796965
455,-0.33161,0.897943,2.802616
456,-0.330773,0.897878,2.808469
457,-0.32985,0.897865,2.814628
458,-0.328856,0.897896,2.821099
459,-0.327793,0.897966,2.827752
460,-0.326665,0.898066,2.834456
461,-0.325474,0.898189,2.841079
462,-0.324225,0.898327,2.847491
463,-0.322888,0.898493,2.853692
464,-0.321455,0.898696,2.859789
465,-0.31996,0.898921,2.865805
466,-0.318437,0.899155,2.871765
467,-0.316919,0.899383,2.877694
468,-0.31544,0.899591,2.883618
469,-0.31395,0.899774,2.889541
470,-0.312411,0.899944,2.895447
471,-0.310878,0.900108,2.901321
472,-0.309404,0.900273,2.907152
473,-0.308043,0.900446,2.912927
474,-0.306847,0.900635,2.918634
475,-0.305842,0.900834,2.924258
476,-0.304992,0.901037,2.929807
477,-0.304253,0.901248,2.935301
478,-0.303586,0.901471,2.940757
479,-0.302948,0.901712,2.946195
480,-0.302299,0.901974,2.951635
481,-0.301649,0.902275,2.957079
482,-0.301033,0.902614,2.962512
483,-0.300447,0.90297,2.967928
484,-0.299886,0.903322,2.973318
485,-0.299346,0.903649,2.978675
486,-0.298821,0.90393,2.983991
487,-0.298306,0.904174,2.989252
488,-0.297805,0.904399,2.99446
489,-0.297325,0.904599,2.999635
490,-0.296871,0.904768,3.004797
491,-0.29645,0.904899,3.009964
492,-0.296069,0.904985,3.015158
493,-0.295733,0.905024,3.020367
494,-0.295438,0.90502,3.025574
495,-0.295176,0.904978,3.030788
496,-0.294939,0.904904,3.036015
497,-0.294719,0.904801,3.041264
498,-0.294509,0.904675,3.046542
499,-0.294319,0.904526,3.051841
500,-0.294158,0.904348,3.057152
501,-0.294013,0.904142,3.062485
502,-0.293875,0.903908,3.067849
503,-0.293732,0.903647,3.073252
504,-0.293573,0.903357,3.078703
505,-0.293394,0.903043,3.084183
506,-0.293203,0.902705,3.089681
507,-0.293007,0.902339,3.095218
508,-0.292813,0.901941,3.100817
509,-0.292628,0.901506,3.106498
510,-0.292458,0.901031,3.112282
511,-0.292295,0.900499,3.118171
512,-0.292132,0.89991,3.124144
513,-0.291978,0.899284,3.130201
514,-0.291841,0.898643,3.136337
515,-0.29173,0.898007,3.142548
516,-0.291654,0.897396,3.148833
517,-0.291613,0.896787,3.155169
518,-0.2916,0.896157,3.161554
519,-0.291612,0.895533,3.168016
520,-0.291649,0.894938,3.17458
521,-0.291708,0.894399,3.181273
522,-0.291787,0.893939,3.188122
523,-0.291885,0.893549,3.195113
524,-0.292004,0.893204,3.202222
525,-0.292145,0.892914,3.20946
526,-0.29231,0.892689,3.216838
527,-0.292501,0.892536,3.224367
528,-0.292718,0.892465,3.232057
529,-0.292973,0.892477,3.240022
530,-0.293267,0.892563,3.248276
531,-0.293587,0.892723,3.256681
532,-0.293918,0.892953,3.265098
533,-0.294248,0.893252,3.273389
534,-0.294563,0.893616,3.281417
535,-0.294886,0.89407,3.289179
536,-0.295232,0.894621,3.296786
537,-0.295577,0.895241,3.304268
538,-0.295896,0.8959,3.311653
539,-0.296163,0.896568,3.318974
540,-0.296354,0.897217,3.326258
541,-0.296494,0.897861,3.333516
542,-0.296607,0.898525,3.340725
543,-0.296669,0.899198,3.347868
544,-0.296656,0.899871,3.354929
545,-0.296543,0.900532,3.361891
546,-0.296305,0.901171,3.368738
547,-0.295931,0.901788,3.375465
548,-0.295437,0.902394,3.382082
549,-0.294842,0.902988,3.388601
550,-0.294169,0.903571,3.395032
551,-0.293436,0.904141,3.401385
552,-0.292665,0.904698,3.407671
553,-0.291844,0.905259,3.413871
554,-0.290955,0.905826,3.419971
555,-0.290007,0.906381,3.425994
556,-0.289009,0.906905,3.431961
557,-0.287971,0.907379,3.437892
558,-0.286902,0.907784,3.44381
559,-0.285798,0.908126,3.449722
560,-0.284652,0.908419,3.455614
561,-0.283466,0.908662,3.461471
562,-0.282241,0.908853,3.467279
563,-0.280979,0.90899,3.473022
564,-0.279684,0.909072,3.478686
565,-0.278355,0.909082,3.484246
566,-0.276994,0.90902,3.489709
567,-0.275596,0.908904,3.495108
568,-0.274158,0.908752,3.500475
569,-0.272677,0.908583,3.505845
570,-0.271151,0.908414,3.511249
571,-0.269578,0.908252,3.516686
572,-0.267963,0.908084,3.522127
573,-0.266305,0.907898,3.52757
574,-0.264604,0.907684,3.533012
575,-0.26286,0.907432,3.538451
576,-0.261074,0.907129,3.543882
577,-0.25925,0.906776,3.549292
578,-0.257392,0.906379,3.554681
579,-0.25549,0.905944,3.560065
580,-0.253538,0.905474,3.565464
581,-0.251528,0.904973,3.570895
582,-0.249453,0.904445,3.576377
583,-0.247341,0.90388,3.581896
584,-0.245203,0.903271,3.587434
585,-0.243007,0.902632,3.593005
586,-0.240721,0.901973,3.598622
587,-0.238311,0.901309,3.604297
588,-0.235743,0.900649,3.610043
589,-0.233008,0.899984,3.615851
590,-0.23013,0.8993,3.621707
591,-0.227127,0.898609,3.627621
592,-0.224021,0.897924,3.633604
593,-0.22083,0.897257,3.639667
594,-0.217575,0.89662,3.645818
595,-0.214305,0.895999,3.65205
596,-0.211012,0.895381,3.658353
597,-0.207635,0.89478,3.664734
598,-0.204112,0.894213,3.671203
599,-0.200382,0.893694,3.677769
600,-0.196384,0.893238,3.68444
601,-0.19209,0.892825,3.691285
602,-0.187545,0.892439,3.69831
603,-0.182793,0.892101,3.705432
604,-0.177878,0.891833,3.712567
605,-0.172843,0.891656,3.719629
606,-0.167733,0.891592,3.726537
607,-0.162468,0.89165,3.733315
608,-0.156997,0.891814,3.740038
609,-0.151407,0.892069,3.746689
610,-0.145784,0.892401,3.753253
611,-0.140212,0.892795,3.759715
612,-0.13478,0.893237,3.766059
613,-0.129428,0.893758,3.772292
614,-0.124076,0.894375,3.778427
615,-0.118777,0.895054,3.78446
616,-0.113583,0.895761,3.790387
617,-0.108544,0.896462,3.796203
618,-0.103713,0.897123,3.801906
619,-0.09909,0.897747,3.807491
620,-0.094634,0.898361,3.81296
621,-0.090334,0.89897,3.81832
622,-0.086179,0.899575,3.823574
623,-0.082159,0.900179,3.828729
624,-0.078265,0.900785,3.833788
625,-0.074525,0.901402,3.838734
626,-0.070955,0.90203,3.84356
627,-0.067521,0.902657,3.848287
628,-0.064187,0.903271,3.852933
629,-0.060919,0.903861,3.857519
630,-0.057682,0.904414,3.862065
631,-0.05449,0.904949,3.866548
632,-0.051374,0.905482,3.870946
633,-0.048324,0.905989,3.875284
634,-0.045329,0.906451,3.879587
635,-0.042379,0.906845,3.883878
636,-0.039464,0.907151,3.888183
637,-0.036594,0.907361,3.892485
638,-0.03378,0.90749,3.896762
639,-0.031011,0.907552,3.901027
640,-0.028276,0.90756,3.905295
641,-0.025564,0.907528,3.909579
642,-0.022864,0.907469,3.913893
643,-0.020195,0.907374,3.918228
644,-0.01757,0.907231,3.922569
645,-0.014967,0.907048,3.926927
646,-0.012367,0.906832,3.93131
647,-0.009749,0.90659,3.935726
648,-0.007092,0.906331,3.940183
649,-0.004404,0.906053,3.944669
650,-0.001706,0.905751,3.949177
651,0.001012,0.905422,3.953717
652,0.003754,0.905068,3.958303
653,0.006527,0.904688,3.962947
654,0.009339,0.90428,3.967662
655,0.012193,0.903842,3.972439
656,0.015087,0.903372,3.977266
657,0.018013,0.902875,3.982152
658,0.020962,0.902357,3.987104
659,0.023927,0.901822,3.99213
660,0.026899,0.901275,3.997241
661,0.029869,0.900713,4.002418
662,0.032839,0.900131,4.007655
663,0.035826,0.899533,4.012966
664,0.038842,0.89892,4.018368
665,0.041904,0.898295,4.02388
666,0.045025,0.897661,4.029517
667,0.048197,0.897002,4.035269
668,0.051405,0.896311,4.041123
669,0.054658,0.895609,4.047085
670,0.057964,0.894914,4.053163
671,0.061332,0.894247,4.059367
672,0.06477,0.893626,4.065702
673,0.068283,0.893031,4.07217
674,0.071865,0.892442,4.078762
675,0.075509,0.89188,4.085479
676,0.079207,0.891366,4.09232
677,0.082953,0.890921,4.099285
678,0.086738,0.890567,4.106374
679,0.09061,0.890272,4.113674
680,0.094583,0.890016,4.121203
681,0.098603,0.889828,4.128856
682,0.102617,0.889741,4.136528
683,0.106568,0.889786,4.144114
684,0.110403,0.889994,4.151509
685,0.1141,0.890409,4.158725
686,0.117698,0.891014,4.165851
687,0.121235,0.891751,4.172891
688,0.124747,0.892561,4.179849
689,0.128271,0.893388,4.18673
690,0.131843,0.894172,4.193537
691,0.135452,0.894934,4.200301
692,0.139065,0.895724,4.207023
693,0.142689,0.896529,4.213668
694,0.146334,0.897339,4.2202
695,0.150008,0.898139,4.226583
696,0.15372,0.898917,4.232782
697,0.157492,0.899682,4.238784
698,0.161321,0.900444,4.244617
699,0.165179,0.901197,4.250301
700,0.169038,0.901934,4.255858
701,0.17287,0.902649,4.261307
702,0.176645,0.903335,4.26667
703,0.180356,0.904005,4.271924
704,0.184025,0.904668,4.277048
705,0.187667,0.905309,4.282065
706,0.191295,0.905912,4.286998
707,0.194923,0.906463,4.291869
708,0.198567,0.906947,4.296701
709,0.202223,0.90737,4.301485
710,0.20588,0.907744,4.306201
711,0.209537,0.908066,4.310855
712,0.213196,0.908332,4.315455
713,0.216855,0.908539,4.320005
714,0.220516,0.908683,4.324515
715,0.22416,0.908753,4.32897
716,0.227784,0.908749,4.333365
717,0.231409,0.908686,4.337712
718,0.235056,0.908578,4.342023
719,0.238748,0.908439,4.34631
720,0.242506,0.908283,4.350586
721,0.246331,0.908121,4.354849
722,0.250206,0.907945,4.359091
723,0.254125,0.907737,4.363308
724,0.258082,0.907483,4.367501
725,0.262073,0.907165,4.371667
726,0.26609,0.906768,4.375806
727,0.270122,0.906282,4.379902
728,0.274172,0.90572,4.383954
729,0.278254,0.905094,4.387979
